Timestamp,AX,AY,AZ
2025-06-18 16:34:14.211,0.08,0.38,9.8
2025-06-18 16:34:14.230,0.08,0.38,9.8
2025-06-18 16:34:14.276,0.09,0.39,9.79
2025-06-18 16:34:14.314,0.09,0.39,9.79
2025-06-18 16:34:14.333,0.08,0.39,9.8
2025-06-18 16:34:14.352,0.08,0.38,9.8
2025-06-18 16:34:14.371,0.08,0.38,9.8
2025-06-18 16:34:14.417,0.08,0.38,9.79
2025-06-18 16:34:14.436,0.09,0.39,9.8
2025-06-18 16:34:14.454,0.08,0.39,9.8
2025-06-18 16:34:14.473,0.08,0.39,9.8
2025-06-18 16:34:14.491,0.08,0.38,9.8
2025-06-18 16:34:14.519,0.08,0.38,9.8
2025-06-18 16:34:14.538,0.08,0.39,9.8
2025-06-18 16:34:14.556,0.08,0.39,9.8
2025-06-18 16:34:14.575,0.09,0.38,9.8
2025-06-18 16:34:14.594,0.09,0.38,9.8
2025-06-18 16:34:14.612,0.08,0.39,9.79
2025-06-18 16:34:14.631,0.08,0.39,9.79
2025-06-18 16:34:14.659,0.08,0.38,9.79
2025-06-18 16:34:14.677,0.08,0.38,9.79
2025-06-18 16:34:14.696,0.09,0.39,9.79
2025-06-18 16:34:14.714,0.09,0.39,9.79
2025-06-18 16:34:14.733,0.08,0.38,9.79
2025-06-18 16:34:14.752,0.08,0.38,9.79
2025-06-18 16:34:14.798,0.08,0.39,9.8
2025-06-18 16:34:14.817,0.08,0.39,9.8
2025-06-18 16:34:14.854,0.08,0.39,9.79
2025-06-18 16:34:14.873,0.08,0.39,9.79
2025-06-18 16:34:14.901,0.08,0.39,9.8
2025-06-18 16:34:14.919,0.08,0.39,9.79
2025-06-18 16:34:14.938,0.08,0.39,9.79
2025-06-18 16:34:14.956,0.08,0.38,9.79
2025-06-18 16:34:14.975,0.08,0.38,9.79
2025-06-18 16:34:14.994,0.08,0.39,9.8
2025-06-18 16:34:15.210,0.08,0.39,9.8
2025-06-18 16:34:15.400,0.08,0.39,9.79
2025-06-18 16:34:15.590,0.08,0.39,9.79
2025-06-18 16:34:15.770,0.09,0.39,9.79
2025-06-18 16:34:15.960,0.09,0.39,9.79
2025-06-18 16:34:15.114,0.08,0.38,9.8
2025-06-18 16:34:15.133,0.08,0.38,9.8
2025-06-18 16:34:15.161,0.08,0.39,9.79
2025-06-18 16:34:15.179,0.08,0.39,9.79
2025-06-18 16:34:15.198,0.08,0.39,9.8
2025-06-18 16:34:15.217,0.08,0.39,9.8
2025-06-18 16:34:15.235,0.08,0.39,9.79
2025-06-18 16:34:15.254,0.08,0.39,9.79
2025-06-18 16:34:15.300,0.08,0.39,9.79
2025-06-18 16:34:15.338,0.08,0.39,9.8
2025-06-18 16:34:15.357,0.08,0.39,9.79
2025-06-18 16:34:15.395,0.08,0.38,9.79
2025-06-18 16:34:15.442,0.09,0.38,9.8
2025-06-18 16:34:15.460,0.08,0.38,9.79
2025-06-18 16:34:15.479,0.08,0.38,9.79
2025-06-18 16:34:15.497,0.08,0.38,9.79
2025-06-18 16:34:15.516,0.08,0.39,9.8
2025-06-18 16:34:15.544,0.08,0.39,9.8
2025-06-18 16:34:15.563,0.08,0.38,9.8
2025-06-18 16:34:15.581,0.08,0.38,9.8
2025-06-18 16:34:15.600,0.09,0.38,9.8
2025-06-18 16:34:15.618,0.09,0.38,9.8
2025-06-18 16:34:15.665,0.08,0.39,9.79
2025-06-18 16:34:15.683,0.08,0.39,9.8
2025-06-18 16:34:15.721,0.08,0.39,9.79
2025-06-18 16:34:15.739,0.08,0.39,9.8
2025-06-18 16:34:15.758,0.08,0.38,9.79
2025-06-18 16:34:15.786,0.08,0.38,9.79
2025-06-18 16:34:15.804,0.09,0.38,9.8
2025-06-18 16:34:15.823,0.09,0.38,9.8
2025-06-18 16:34:15.841,0.08,0.38,9.8
2025-06-18 16:34:15.860,0.08,0.38,9.8
2025-06-18 16:34:15.879,0.08,0.39,9.79
2025-06-18 16:34:15.907,0.08,0.39,9.79
2025-06-18 16:34:15.925,0.08,0.38,9.79
2025-06-18 16:34:15.944,0.08,0.38,9.79
2025-06-18 16:34:15.962,0.09,0.38,9.8
2025-06-18 16:34:15.981,0.09,0.38,9.8
2025-06-18 16:34:15.999,0.09,0.38,9.79
2025-06-18 16:34:16.180,0.09,0.38,9.79
2025-06-18 16:34:16.460,0.09,0.39,9.79
2025-06-18 16:34:16.650,0.09,0.39,9.79
2025-06-18 16:34:16.830,0.08,0.39,9.8
2025-06-18 16:34:16.102,0.08,0.39,9.8
2025-06-18 16:34:16.120,0.08,0.38,9.8
2025-06-18 16:34:16.139,0.08,0.38,9.8
2025-06-18 16:34:16.186,0.09,0.38,9.79
2025-06-18 16:34:16.205,0.09,0.39,9.79
2025-06-18 16:34:16.243,0.09,0.38,9.8
2025-06-18 16:34:16.281,0.08,0.38,9.8
2025-06-18 16:34:16.309,0.08,0.38,9.8
2025-06-18 16:34:16.327,0.08,0.39,9.8
2025-06-18 16:34:16.346,0.08,0.39,9.8
2025-06-18 16:34:16.364,0.08,0.38,9.8
2025-06-18 16:34:16.383,0.08,0.38,9.8
2025-06-18 16:34:16.401,0.08,0.39,9.79
2025-06-18 16:34:16.429,0.08,0.39,9.79
2025-06-18 16:34:16.448,0.08,0.38,9.79
2025-06-18 16:34:16.467,0.08,0.38,9.79
2025-06-18 16:34:16.505,0.08,0.39,9.8
2025-06-18 16:34:16.523,0.08,0.39,9.8
2025-06-18 16:34:16.570,0.08,0.39,9.8
2025-06-18 16:34:16.589,0.08,0.39,9.8
2025-06-18 16:34:16.608,0.08,0.38,9.79
2025-06-18 16:34:16.626,0.08,0.38,9.79
2025-06-18 16:34:16.645,0.08,0.38,9.79
2025-06-18 16:34:16.663,0.08,0.38,9.79
2025-06-18 16:34:16.691,0.08,0.39,9.8
2025-06-18 16:34:16.710,0.08,0.39,9.8
2025-06-18 16:34:16.728,0.09,0.38,9.8
2025-06-18 16:34:16.747,0.09,0.38,9.8
2025-06-18 16:34:16.766,0.08,0.39,9.79
2025-06-18 16:34:16.784,0.08,0.39,9.79
2025-06-18 16:34:16.803,0.08,0.38,9.79
2025-06-18 16:34:16.831,0.08,0.38,9.79
2025-06-18 16:34:16.849,0.08,0.38,9.79
2025-06-18 16:34:16.868,0.08,0.38,9.79
2025-06-18 16:34:16.886,0.08,0.38,9.79
2025-06-18 16:34:16.905,0.08,0.38,9.79
2025-06-18 16:34:16.924,0.08,0.39,9.8
2025-06-18 16:34:16.951,0.08,0.39,9.8
2025-06-18 16:34:16.970,0.08,0.38,9.79
2025-06-18 16:36:27.020,0.08,0.38,9.8
2025-06-18 16:36:27.490,0.09,0.39,9.8
2025-06-18 16:36:27.670,0.09,0.39,9.8
2025-06-18 16:36:27.105,0.09,0.38,9.79
2025-06-18 16:36:27.123,0.08,0.39,9.8
2025-06-18 16:36:27.142,0.08,0.39,9.79
2025-06-18 16:36:27.170,0.08,0.38,9.79
2025-06-18 16:36:27.188,0.08,0.38,9.79
2025-06-18 16:36:27.207,0.08,0.38,9.79
2025-06-18 16:36:27.225,0.08,0.38,9.79
2025-06-18 16:36:27.244,0.08,0.39,9.79
2025-06-18 16:36:27.263,0.08,0.39,9.79
2025-06-18 16:36:27.290,0.09,0.39,9.79
2025-06-18 16:36:27.309,0.09,0.39,9.79
2025-06-18 16:36:27.328,0.09,0.38,9.8
2025-06-18 16:36:27.346,0.09,0.38,9.8
2025-06-18 16:36:27.365,0.08,0.38,9.79
2025-06-18 16:36:27.383,0.08,0.38,9.79
2025-06-18 16:36:27.402,0.08,0.39,9.79
2025-06-18 16:36:27.430,0.08,0.39,9.79
2025-06-18 16:36:27.448,0.08,0.39,9.79
2025-06-18 16:36:27.467,0.08,0.39,9.79
2025-06-18 16:36:27.486,0.08,0.38,9.8
2025-06-18 16:36:27.504,0.08,0.38,9.8
2025-06-18 16:36:27.551,0.09,0.39,9.79
2025-06-18 16:36:27.569,0.09,0.38,9.8
2025-06-18 16:36:27.607,0.08,0.39,9.8
2025-06-18 16:36:27.625,0.09,0.39,9.8
2025-06-18 16:36:27.644,0.09,0.39,9.8
2025-06-18 16:36:27.672,0.08,0.38,9.8
2025-06-18 16:36:27.690,0.09,0.39,9.79
2025-06-18 16:36:27.709,0.08,0.39,9.8
2025-06-18 16:36:27.727,0.08,0.38,9.79
2025-06-18 16:36:27.746,0.08,0.39,9.8
2025-06-18 16:36:27.793,0.08,0.38,9.79
2025-06-18 16:36:27.811,0.08,0.38,9.79
2025-06-18 16:36:27.830,0.08,0.38,9.79
2025-06-18 16:36:27.848,0.08,0.38,9.79
2025-06-18 16:36:27.886,0.09,0.38,9.8
2025-06-18 16:36:27.914,0.08,0.38,9.8
2025-06-18 16:36:27.951,0.08,0.38,9.79
2025-06-18 16:36:27.970,0.08,0.38,9.79
2025-06-18 16:36:27.988,0.09,0.38,9.79
2025-06-18 16:36:28.070,0.09,0.39,9.8
2025-06-18 16:36:28.350,0.08,0.38,9.8
2025-06-18 16:36:28.530,0.08,0.39,9.8
2025-06-18 16:36:28.720,0.09,0.39,9.79
2025-06-18 16:36:28.910,0.08,0.38,9.79
2025-06-18 16:36:28.128,0.09,0.39,9.8
2025-06-18 16:36:28.156,0.09,0.39,9.8
2025-06-18 16:36:28.174,0.08,0.39,9.8
2025-06-18 16:36:28.193,0.08,0.39,9.8
2025-06-18 16:36:28.230,0.08,0.39,9.8
2025-06-18 16:36:28.249,0.08,0.38,9.79
