Timestamp,LC_SPS,Accel_SPS
2025-06-18 17:03:11,108,43
2025-06-18 17:03:12,107,42
2025-06-18 17:03:13,108,42
2025-06-18 17:03:14,107,44
2025-06-18 17:03:15,107,46
2025-06-18 17:03:16,108,41
2025-06-18 17:03:17,107,41
2025-06-18 17:03:18,107,43
2025-06-18 17:03:19,108,44
2025-06-18 17:03:20,107,40
2025-06-18 17:03:21,107,43
2025-06-18 17:03:22,107,41
2025-06-18 17:03:23,108,43
2025-06-18 17:03:24,107,42
2025-06-18 17:03:25,108,46
2025-06-18 17:03:26,107,43
2025-06-18 17:03:27,108,42
2025-06-18 17:03:28,107,44
2025-06-18 17:03:29,108,42
2025-06-18 17:03:30,107,43
2025-06-18 17:03:31,107,43
2025-06-18 17:03:32,108,45
2025-06-18 17:03:33,107,45
2025-06-18 17:03:34,108,43
2025-06-18 17:03:35,107,45
2025-06-18 17:03:36,108,46
2025-06-18 17:03:37,107,40
2025-06-18 17:03:38,107,42
2025-06-18 17:03:39,108,44
2025-06-18 17:03:40,107,43
2025-06-18 17:03:41,108,41
2025-06-18 17:03:42,107,42
2025-06-18 17:03:43,107,44
2025-06-18 17:03:44,108,46
2025-06-18 17:03:45,107,47
2025-06-18 17:03:46,107,43
2025-06-18 17:03:47,108,42
2025-06-18 17:03:48,107,45
2025-06-18 17:03:49,108,47
2025-06-18 17:03:50,107,46
2025-06-18 17:03:51,108,44
2025-06-18 17:03:52,107,44
2025-06-18 17:03:53,107,46
2025-06-18 17:03:54,108,41
2025-06-18 17:03:55,107,45
2025-06-18 17:03:56,108,43
2025-06-18 17:03:57,107,41
2025-06-18 17:03:58,108,43
2025-06-18 17:03:59,107,44
2025-06-18 17:04:00,108,42
2025-06-18 17:04:01,107,44
2025-06-18 17:04:02,108,43
2025-06-18 17:04:03,107,41
2025-06-18 17:04:04,107,46
2025-06-18 17:04:05,108,44
2025-06-18 17:04:06,107,45
2025-06-18 17:04:07,107,41
2025-06-18 17:04:08,108,46
2025-06-18 17:04:09,107,43
2025-06-18 17:04:10,107,41
2025-06-18 17:04:11,107,43
2025-06-18 17:04:12,108,43
2025-06-18 17:04:13,107,40
2025-06-18 17:04:14,108,43
2025-06-18 17:04:15,107,45
2025-06-18 17:04:16,108,43
2025-06-18 17:04:17,107,41
2025-06-18 17:04:18,108,46
2025-06-18 17:04:19,107,41
2025-06-18 17:04:20,107,42
2025-06-18 17:04:21,108,45
2025-06-18 17:04:22,107,44
2025-06-18 17:04:23,108,43
2025-06-18 17:04:24,107,41
2025-06-18 17:04:25,107,43
2025-06-18 17:04:26,108,43
2025-06-18 17:04:27,107,45
2025-06-18 17:04:28,108,43
2025-06-18 17:04:29,107,41
2025-06-18 17:04:30,108,45
2025-06-18 17:04:31,107,45
2025-06-18 17:04:32,107,41
